RUNNUMBER,PRESSURE_MEAN,D1_MAX,MEAN_A_MEAN,SUM_D1_MAX_MEAN_A_MEAN,GAIN,RUNPERIOD
72295,101.41,299.15,8.6866375,307.8366375,0.162,RP_2020
73087,100.69,300.04999999999995,9.239875,309.28987499999994,0.153,RP_2020
72087,100.17,299.25,9.274675,308.524675,0.15,RP_2020
71780,100.37,299.35,8.998012499999998,308.34801250000004,0.153,RP_2020
72403,101.39,299.15,8.8680875,308.0180875,0.165,RP_2020
72406,101.51,299.25,8.2291625,307.4791625,0.165,RP_2020
71468,100.93,299.15,6.653375,305.80337499999996,0.155,RP_2020
72245,100.58,299.25,9.4107125,308.6607125,0.153,RP_2020
73147,100.78,299.95,9.719024999999998,309.669025,0.152,RP_2020
72761,100.1,300.15,9.3683125,309.5183125,0.146,RP_2020
73092,100.78,300.04999999999995,10.117225,310.167225,0.154,RP_2020
72243,100.49,299.25,9.098025,308.348025,0.152,RP_2020
71560,99.777,299.25,6.956712500000001,306.2067125,0.144,RP_2020
72248,101.06,299.25,5.1311625,304.3811625,0.158,RP_2020
72845,100.28,300.15,9.319675,309.469675,0.148,RP_2020
73161,101.04,299.95,9.440975,309.39097499999997,0.155,RP_2020
72100,99.821,299.25,9.96695,309.21695,0.146,RP_2020
72045,100.67,299.15,9.060225,308.210225,0.158,RP_2020
72301,100.93,299.15,9.058325,308.208325,0.158,RP_2020
72435,100.54,299.15,9.4995,308.6495,0.155,RP_2020
72293,101.43,299.04999999999995,8.91445,307.96444999999994,0.162,RP_2020
71864,100.34,299.04999999999995,9.7397875,308.78978749999993,0.149,RP_2020
72391,100.43,299.25,8.79295,308.04295,0.153,RP_2020
71782,100.19,299.25,8.997475000000001,308.247475,0.151,RP_2020
72427,100.34,299.15,9.03615,308.18615,0.152,RP_2020
72890,99.857,300.04999999999995,9.759725,309.80972499999996,0.142,RP_2020
71358,100.8,299.25,4.5368,303.7868,0.151,RP_2020
72785,99.908,300.15,10.3985625,310.5485625,0.144,RP_2020
72381,100.63,299.25,9.4164,308.6664,0.154,RP_2020
71654,100.37,299.25,9.070775,308.320775,0.153,RP_2020
71748,101.22,299.15,8.9504,308.1004,0.159,RP_2020
72842,100.52,300.04999999999995,9.3908,309.44079999999997,0.151,RP_2020
72263,101.25,299.25,9.0615125,308.3115125,0.162,RP_2020
73223,101.15,299.95,8.898675,308.848675,0.159,RP_2020
71817,101.48,299.15,9.063425,308.213425,0.162,RP_2020
72947,100.04,300.15,9.418075,309.56807499999996,0.145,RP_2020
72059,99.675,299.15,9.516575,308.66657499999997,0.144,RP_2020
72112,101.22,299.15,8.5632875,307.7132875,0.162,RP_2020
72193,99.843,299.25,8.8671125,308.1171125,0.146,RP_2020
73185,99.428,300.04999999999995,9.748675,309.79867499999995,0.14,RP_2020
71947,100.08,299.25,9.8518,309.1018,0.15,RP_2020
72012,100.15,299.15,9.8523375,309.00233749999995,0.151,RP_2020
71994,100.37,299.04999999999995,0.1875,299.23749999999995,0.15,RP_2020
72946,99.995,300.15,10.4214625,310.5714625,0.145,RP_2020
72725,99.908,300.15,10.0142375,310.16423749999996,0.144,RP_2020
72770,99.908,300.15,9.5207,309.67069999999995,0.144,RP_2020
71484,99.646,299.25,6.9550125,306.2050125,0.141,RP_2020
72082,100.52,299.25,9.6046375,308.8546375,0.154,RP_2020
71658,100.06,299.25,9.590274999999998,308.840275,0.15,RP_2020
71978,99.472,299.25,9.34035,308.59035,0.142,RP_2020
71813,101.12,299.15,9.4589875,308.60898749999996,0.157,RP_2020
71704,99.668,299.35,9.7407625,309.09076250000004,0.145,RP_2020
72422,101.01,299.15,8.844675,307.994675,0.161,RP_2020
71524,101.19,299.25,5.9736625000000005,305.2236625,0.16,RP_2020
72786,99.863,300.15,10.356825,310.506825,0.144,RP_2020
72239,100.32,299.25,9.4084125,308.6584125,0.15,RP_2020
72267,101.37,299.15,8.8372875,307.9872875,0.163,RP_2020
72731,99.995,300.15,10.0036125,310.15361249999995,0.144,RP_2020
73061,100.58,300.04999999999995,9.0920625,309.14206249999995,0.151,RP_2020
71469,100.61,299.15,6.535925,305.685925,0.151,RP_2020
72004,99.995,299.15,11.052124999999998,310.20212499999997,0.147,RP_2020
72857,99.843,300.15,9.324962499999998,309.47496249999995,0.143,RP_2020
72188,100.17,299.25,8.503237500000001,307.7532375,0.149,RP_2020
71918,101.26,299.15,8.1942375,307.34423749999996,0.162,RP_2020
71522,101.24,299.15,6.24585,305.39585,0.161,RP_2020
71694,99.931,299.25,9.4919625,308.7419625,0.145,RP_2020
71510,101.56,299.15,6.5584750000000005,305.70847499999996,0.163,RP_2020
72801,100.06,300.25,9.7893875,310.0393875,0.147,RP_2020
73214,100.99,299.95,8.959875,308.909875,0.158,RP_2020
73146,100.54,299.95,9.3828875,309.33288749999997,0.15,RP_2020
72778,99.858,300.04999999999995,10.09155,310.14154999999994,0.143,RP_2020
72377,100.63,299.25,9.6437625,308.8937625,0.154,RP_2020
72299,100.93,299.15,8.8659375,308.01593749999995,0.158,RP_2020
72776,99.777,300.15,9.94625,310.09625,0.143,RP_2020
72840,100.5,300.04999999999995,9.7204,309.77039999999994,0.15,RP_2020
72073,99.973,299.25,9.5671,308.8171,0.146,RP_2020
72007,99.99,299.15,9.959175,309.109175,0.147,RP_2020
73104,100.54,300.04999999999995,9.1281625,309.1781624999999,0.15,RP_2020
72074,100.1,299.25,9.3624125,308.6124125,0.148,RP_2020
73226,101.19,299.95,8.873349999999999,308.82335,0.16,RP_2020
71950,99.827,299.25,10.111875,309.361875,0.148,RP_2020
71626,100.69,299.25,9.10605,308.35605,0.155,RP_2020
71752,101.43,299.15,9.4652625,308.6152625,0.163,RP_2020
73182,99.668,300.04999999999995,9.727775,309.77777499999996,0.143,RP_2020
71562,99.821,299.25,6.711275,305.961275,0.144,RP_2020
72154,101.25,299.25,9.373225,308.623225,0.163,RP_2020
71649,100.78,299.25,9.0641,308.3141,0.157,RP_2020
72079,100.82,299.25,8.9869625,308.2369625,0.157,RP_2020
72146,101.43,299.25,8.593699999999998,307.8437,0.165,RP_2020
72369,100.76,299.15,9.7046875,308.85468749999995,0.155,RP_2020
